,image.name,X.x,Blue.count,red.count,Blue.percentage,red.percentage,total.clusters,average.clusters.32,area,circularity,X.1,X.y,Count_Nuclei,ImageNumber,Texture_AngularSecondMoment_3_0,Texture_AngularSecondMoment_3_135,Texture_AngularSecondMoment_3_45,Texture_AngularSecondMoment_3_90,Texture_Contrast_3_0,Texture_Contrast_3_135,Texture_Contrast_3_45,Texture_Contrast_3_90,Texture_Correlation_3_0,Texture_Correlation_3_135,Texture_Correlation_3_45,Texture_Correlation_3_90,Texture_DifferenceEntropy_3_0,Texture_DifferenceEntropy_3_135,Texture_DifferenceEntropy_3_45,Texture_DifferenceEntropy_3_90,Texture_DifferenceVariance_3_0,Texture_DifferenceVariance_3_135,Texture_DifferenceVariance_3_45,Texture_DifferenceVariance_3_90,Texture_Entropy_3_0,Texture_Entropy_3_135,Texture_Entropy_3_45,Texture_Entropy_3_90,Texture_Gabor_3,Texture_InfoMeas1_3_0,Texture_InfoMeas1_3_135,Texture_InfoMeas1_3_45,Texture_InfoMeas1_3_90,Texture_InfoMeas2_3_0,Texture_InfoMeas2_3_135,Texture_InfoMeas2_3_45,Texture_InfoMeas2_3_90,Texture_InverseDifferenceMoment_3_0,Texture_InverseDifferenceMoment_3_135,Texture_InverseDifferenceMoment_3_45,Texture_InverseDifferenceMoment_3_90,Texture_SumAverage_3_0,Texture_SumAverage_3_135,Texture_SumAverage_3_45,Texture_SumAverage_3_90,Texture_SumEntropy_3_0,Texture_SumEntropy_3_135,Texture_SumEntropy_3_45,Texture_SumEntropy_3_90,Texture_SumVariance_3_0,Texture_SumVariance_3_135,Texture_SumVariance_3_45,Texture_SumVariance_3_90,Texture_Variance_3_0,Texture_Variance_3_135,Texture_Variance_3_45,Texture_Variance_3_90,classification
11,Case 3 A10-26546-21577,4,24109,77490,2.299213409,7.390022278,130,0.119266055,68.60769231,0.08704815,601,4,303,4,0.11126673,0.102035776,0.098993217,0.105011596,1.727045521,2.121598249,2.248393914,1.954805529,0.533903056,0.427659613,0.393452422,0.472754513,1.23216069,1.314427474,1.33969682,1.283115701,1.006640577,1.178193088,1.226198916,1.096109852,2.770401537,2.831400699,2.845368913,2.81128502,0.182936177,-0.110037239,-0.068654741,-0.05912857,-0.082330776,0.525216911,0.427091914,0.39906239,0.463114055,0.656646231,0.618735876,0.606783952,0.630992137,4.286465666,4.286988904,4.286997538,4.286785129,2.00196671,1.994380628,1.989263985,1.997972854,5.683597812,5.292146814,5.165328926,5.460356709,1.849980332,1.856572833,1.851196996,1.854239624,Non-Viable-Tumor
12,Case 3 A10-26935-6593,5,71945,157109,6.861209869,14.98308182,426,0.390825688,64.32159624,0.172054886,602,5,312,5,0.044789136,0.04173512,0.040656645,0.044068548,2.505294097,2.934497972,3.167323618,2.635826357,0.461944011,0.369958396,0.319966303,0.434201753,1.385084485,1.449104437,1.480350135,1.406276463,1.211900894,1.360254101,1.45048389,1.270457408,3.349151312,3.39701913,3.415736912,3.364112544,0.246482744,-0.074609733,-0.047247784,-0.036491386,-0.066289913,0.478167877,0.389377199,0.345319525,0.453864394,0.558383079,0.52732888,0.514649723,0.551265194,5.815986357,5.816988204,5.816960384,5.817805575,2.296075746,2.275179336,2.262523415,2.290183524,6.807079808,6.380721971,6.147868874,6.681364868,2.3271659,2.329657388,2.327804414,2.329228479,Non-Viable-Tumor
13,Case 3 A10-28110-17616,6,110154,173076,10.50510406,16.5058136,1489,1.366055046,49.79516454,0.088855688,603,6,264,6,0.029394357,0.026624349,0.026855388,0.029159665,3.557172426,4.446453085,4.459084015,3.444836175,0.476669131,0.345341661,0.343483925,0.492885367,1.520791218,1.617654244,1.617662042,1.510376501,1.810227522,2.135321986,2.162219712,1.718180491,3.749474353,3.82204558,3.81816338,3.750197122,0.159020982,-0.091708371,-0.054621632,-0.056602337,-0.091219373,0.550090577,0.439521588,0.446568656,0.548867701,0.532153111,0.48846371,0.49119113,0.529555332,7.981639477,7.9863599,7.98631865,7.985574422,2.526531883,2.489234441,2.487435349,2.529769361,10.03717781,9.137529176,9.12497578,10.14113426,3.397943554,3.397563081,3.396311894,3.397430554,Non-Viable-Tumor
14,Case 3 A10-28463-9497,7,42100,113908,4.014968872,10.8631134,167,0.153211009,61.33532934,0.135185902,604,7,314,7,0.063768611,0.063701804,0.062018347,0.06689441,2.51297843,2.509381346,2.770642175,2.161904689,0.218390763,0.219359911,0.138087274,0.327395938,1.382242244,1.379395212,1.420344146,1.32222249,1.166347806,1.156162699,1.257103605,1.035184363,3.047544077,3.048261118,3.063292683,3.017616809,0.2450429,-0.018419944,-0.01788929,-0.008117753,-0.037762796,0.234709372,0.231387469,0.157045916,0.331151317,0.546260564,0.544204317,0.527776691,0.573131492,4.789329357,4.789216848,4.789225481,4.789020415,2.015470835,2.015407473,1.99401708,2.044632088,3.917288998,3.919653802,3.658411961,4.266556726,1.60832547,1.606827517,1.608361275,1.607448348,Non-Viable-Tumor
15,Case 3 A10-32184-17317,8,60773,153498,5.795764923,14.63871002,345,0.316513761,62.8057971,0.142742978,605,8,255,8,0.042062889,0.039457106,0.039301865,0.041657878,2.690471772,3.114136915,3.129636114,2.692369422,0.418708927,0.327301178,0.323952435,0.417921395,1.416080258,1.475845124,1.478207964,1.416378525,1.323828424,1.477554862,1.476067407,1.30907329,3.422809482,3.466701805,3.468677537,3.426813237,0.200350109,-0.070658882,-0.045962815,-0.044840762,-0.068160147,0.470924644,0.387928745,0.383568048,0.463489929,0.554672596,0.526365344,0.524128606,0.551161868,6.293534028,6.293630047,6.293650192,6.293568461,2.310436218,2.285765822,2.284544521,2.31095113,6.566406297,6.144499489,6.128975029,6.558504715,2.315016298,2.314933607,2.316504413,2.313773787,Non-Viable-Tumor
16,Case 3 A10-33239-2811,9,60515,92209,5.771160126,8.793735504,407,0.373394495,82.3955774,0.138099448,606,9,227,9,0.235093178,0.223160887,0.223312785,0.237476486,1.515390663,1.932901718,1.905784596,1.457489402,0.698919215,0.615922981,0.621311544,0.710065763,1.129164413,1.219120475,1.215376315,1.116302868,1.054396703,1.312198845,1.293079063,1.015477023,2.486978591,2.556427785,2.554166555,2.474552085,0.176281877,-0.238865093,-0.189180383,-0.190722221,-0.244846103,0.700512413,0.643308842,0.645366634,0.706193859,0.738149452,0.710527251,0.711185925,0.741526556,4.332917904,4.331769376,4.331780887,4.326423428,1.878423619,1.890203725,1.891074897,1.874366252,8.550946973,8.13227565,8.159392809,8.596437882,2.516640978,2.516022671,2.516135295,2.513248784,Non-Viable-Tumor
17,Case 3 A10-3671-14840,555,32088,113635,3.060150146,10.83707809,214,0.196330275,76.3364486,0.089539847,8,8,183,8,0.297235327,0.28746833,0.295444357,0.309802516,1.51205543,1.820762998,1.569036521,1.051112191,0.844738639,0.813118547,0.838948587,0.892100569,0.798048689,0.878207171,0.815131725,0.704912403,1.2904976,1.523213224,1.335855932,0.915828576,1.885426226,1.942674006,1.898579189,1.816332952,0.06802373,-0.470765858,-0.425128754,-0.46102879,-0.527768863,0.828885218,0.806233701,0.824357657,0.853330174,0.853971153,0.834529535,0.850615163,0.876606539,5.870535168,5.875212122,5.875248575,5.875527975,1.651072859,1.678657422,1.656029728,1.61408048,17.96470617,17.66380744,17.9155622,18.43192538,4.865751197,4.875099326,4.868307884,4.87132723,Non-Tumor
18,Case 3 A10-37695-6276,10,85382,155826,8.142662048,14.8607254,618,0.566972477,65.71035599,0.155170024,607,10,280,10,0.038839557,0.036144372,0.036838951,0.043738283,3.269182136,3.660435459,3.470151308,2.197226409,0.400242389,0.328612693,0.363517335,0.596902297,1.501497629,1.54789541,1.525525975,1.337288563,1.557182556,1.669266077,1.590043682,1.065511515,3.515557839,3.553330827,3.541133694,3.403030792,0.214541133,-0.064017531,-0.043266878,-0.049989315,-0.125846117,0.455475146,0.381355447,0.407472188,0.605682769,0.523604158,0.497458317,0.505193383,0.575733176,6.288120371,6.287887756,6.287899267,6.285731092,2.355077185,2.340665497,2.349966062,2.400318632,7.632495153,7.243655187,7.433997941,8.704475252,2.725642913,2.726759512,2.727206685,2.726400574,Non-Viable-Tumor
19,Case 3 A10-42682-16878,11,47611,135819,4.540538788,12.9527092,295,0.270642202,59.50847458,0.126362711,608,11,275,11,0.061280796,0.056729564,0.058358059,0.05891024,1.90541117,2.404321204,2.201672805,2.134336167,0.405300142,0.249394919,0.3126612,0.333639017,1.271215524,1.364231229,1.327649468,1.31701766,0.952915272,1.137709895,1.069865076,1.037822086,3.087157489,3.147734469,3.12710535,3.119217437,0.187644399,-0.06730401,-0.029340698,-0.042259229,-0.047192431,0.439856473,0.299135819,0.355376495,0.374109143,0.59965233,0.556640052,0.57427723,0.578568712,5.456506144,5.457683456,5.457699764,5.457871993,2.122316083,2.07601285,2.096176292,2.100712539,4.502563552,4.002031349,4.204695518,4.271609168,1.602363463,1.600705799,1.601461399,1.600977122,Non-Viable-Tumor
20,Case 3 A10-43205-4260,12,29343,57458,2.798366547,5.479621887,50,0.04587156,76.2,0.132796766,609,12,69,12,0.467749094,0.465407262,0.46251112,0.467927381,0.522413114,0.574616693,0.666535564,0.500795788,0.894568208,0.884111067,0.86558216,0.899044609,0.635141066,0.65935003,0.69568856,0.631264683,0.453116544,0.496117537,0.572266176,0.433353382,1.623891041,1.642192804,1.669586682,1.6216609,0.037095547,-0.533612409,-0.517716915,-0.492475744,-0.5384587,0.833496129,0.826792986,0.815936097,0.835195997,0.891706475,0.886384929,0.878456663,0.892132997,3.882124793,3.883220249,3.883197227,3.885919136,1.351413606,1.354739339,1.359434626,1.35149193,9.386093384,9.341190245,9.249223788,9.42027706,2.483108907,2.473542785,2.485530454,2.480866009,Non-Viable-Tumor
21,Case 3 A10-43279-17240,13,47507,102481,4.530620575,9.773349762,261,0.239449541,66.55938697,0.172141835,610,13,134,13,0.191764424,0.184194538,0.185632325,0.188973633,1.333367448,1.721390467,1.655284088,1.495174576,0.70746125,0.622270045,0.636770324,0.671728194,1.10532702,1.199314393,1.183577074,1.146138975,0.905321872,1.13992462,1.103368597,1.005656254,2.585185276,2.651061066,2.640405337,2.613210796,0.138780326,-0.273934956,-0.229699596,-0.236908514,-0.25454406,0.748510875,0.705623604,0.713090631,0.730368447,0.736990624,0.707963782,0.71347924,0.724888597,4.578810794,4.578035591,4.578056696,4.57562764,1.944260478,1.935893264,1.937195896,1.93973183,7.782311906,7.392785059,7.458909248,7.614163311,2.279509301,2.274867416,2.276078925,2.274277347,Non-Viable-Tumor
22,Case 3 A10-43563-32168,14,72013,196547,6.867694855,18.74418259,292,0.267889908,75.93835616,0.099475439,611,14,103,14,0.174081346,0.151460227,0.149737938,0.151668646,0.461046538,1.009755948,0.977135397,0.898893739,0.943002865,0.875097158,0.879132144,0.888810625,0.667763773,0.907626514,0.907926588,0.882278731,0.382358707,0.792979314,0.760529344,0.702845761,2.285172731,2.505108014,2.506521041,2.487294904,0.060555078,-0.562582431,-0.425140757,-0.424201254,-0.436327618,0.91261175,0.861055891,0.860631424,0.866303099,0.876137652,0.81470356,0.812050114,0.818910993,7.986199957,7.992397651,7.992398611,7.99143284,1.984708036,2.020757297,2.021028786,2.025454788,15.71683599,15.15645562,15.18908194,15.26708292,4.044977406,4.029493516,4.030510447,4.02994818,Non-Tumor
23,Case 3 A10-6162-33852,556,51002,260823,4.863929749,24.87401962,33,0.030275229,63.09090909,0.12280212,9,9,66,9,0.188795325,0.164744816,0.162153174,0.162919069,0.394425081,0.600700663,0.634315036,0.601726057,0.936930905,0.904048622,0.898677998,0.903689612,0.626944159,0.776350912,0.79083469,0.782516103,0.320495231,0.455176156,0.477731917,0.45162599,2.097984853,2.247795575,2.257471713,2.251633783,0.117012384,-0.545840093,-0.441622206,-0.435115141,-0.43841474,0.890622748,0.848886487,0.845660856,0.847152026,0.875715076,0.829527487,0.824064961,0.82616513,10.28159146,10.28041971,10.28040724,10.28460628,1.912549061,1.9568769,1.961990847,1.954086896,12.11328036,11.92001699,11.88635397,11.89367081,3.1277895,3.125158369,3.126865332,3.119695397,Non-Tumor
24,Case 3 A10-6747-12959,557,32224,89214,3.073120117,8.508110046,169,0.155045872,76.56804734,0.099846744,10,10,249,10,0.519415411,0.506651892,0.508569003,0.522459546,1.276319364,1.546578655,1.540602298,1.237378336,0.738297951,0.683401016,0.684623803,0.746920636,0.789640117,0.852506911,0.852065763,0.783592656,1.070831505,1.274764446,1.272738675,1.04064623,1.446246031,1.490937285,1.489845147,1.444532615,0.154827009,-0.308485869,-0.257896542,-0.259325228,-0.313033462,0.640391902,0.597606586,0.598779005,0.644268164,0.847935475,0.830794891,0.832006167,0.85032442,3.541408737,3.543992418,3.543992418,3.545327421,1.226922235,1.248624138,1.245531103,1.223787198,8.477646467,8.223345762,8.22932212,8.541199205,2.436413444,2.44492752,2.440764439,2.445008341,Non-Tumor
25,Case 3 A10-6935-14250,558,68559,195947,6.538295746,18.68696213,247,0.226605505,71.89068826,0.095006341,11,11,219,11,0.431496496,0.42397672,0.427066281,0.441046679,1.299360882,1.52637991,1.425301768,1.02414051,0.864804243,0.841324056,0.851829981,0.893611933,0.700609946,0.756197755,0.741165255,0.639774326,1.135955186,1.318643417,1.235417574,0.908307783,1.554868819,1.592383651,1.582195785,1.513103923,0.104328258,-0.476573537,-0.440758551,-0.450830657,-0.519057382,0.788695715,0.770592002,0.7758936,0.808709377,0.875360619,0.862879714,0.866691404,0.890110942,4.904693813,4.909176634,4.909174716,4.91156514,1.375322704,1.395975562,1.388344699,1.349473559,17.92247606,17.7123166,17.81342893,18.22867861,4.807067217,4.805522546,4.808654782,4.810630702,Non-Tumor
26,Case 3 A10-7101-7481,559,30559,97112,2.914333344,9.261322021,224,0.205504587,65.76339286,0.117517891,12,12,283,12,0.381702933,0.367045663,0.369707117,0.389237454,1.933733396,2.21780897,2.227953429,1.789892722,0.494105341,0.419657265,0.417004292,0.531438016,1.058132097,1.110777196,1.109897784,1.030169741,1.40803683,1.570685623,1.58917582,1.317446873,1.752436862,1.784519284,1.784787018,1.734306247,0.224007733,-0.126280542,-0.091518838,-0.091166478,-0.144606337,0.458757309,0.39674972,0.396176703,0.486943711,0.749109714,0.727283387,0.730725176,0.75878835,3.586082884,3.585506518,3.585505559,3.584799293,1.412458192,1.423839966,1.421700484,1.404545344,5.711070011,5.425280264,5.415125417,5.850012878,1.912152612,1.912810707,1.914708317,1.912959597,Non-Viable-Tumor
27,Case 3 A10-9695-39638,560,34038,141089,3.246116638,13.45529556,65,0.059633028,83.50769231,0.093616954,13,13,26,13,0.528422841,0.519616247,0.519912239,0.520160217,0.186795077,0.352314424,0.336188811,0.315072922,0.979535007,0.961467725,0.963230962,0.9655515,0.28634572,0.388792155,0.397757788,0.396937635,0.178590471,0.33164978,0.315333982,0.29489685,1.118129201,1.190778073,1.191953,1.191858041,0.037803409,-0.754296242,-0.675416636,-0.67439005,-0.675507443,0.861566999,0.838857195,0.838441641,0.838818653,0.963202396,0.945840485,0.944220229,0.944097008,4.659558452,4.666924075,4.666924075,4.66763207,1.05443483,1.091156835,1.084790824,1.085957842,18.0671242,17.93367111,17.94979672,17.97732271,4.558906616,4.576203834,4.567055523,4.573233568,Non-Tumor
28,Case 3 A12-12706-7126,561,34998,119332,3.337669373,11.38038635,212,0.194495413,66.49528302,0.117241747,14,14,294,14,0.256266192,0.249438581,0.247971252,0.260461513,2.919964916,3.246789027,3.212317052,2.846398483,0.391192096,0.322011193,0.329216663,0.405936986,1.299001516,1.341584018,1.336925843,1.287886413,1.821166066,1.994751425,1.958361643,1.797750192,2.140782768,2.164968784,2.161449894,2.134237488,0.221580003,-0.072669527,-0.049084986,-0.052255166,-0.0774346,0.386292522,0.321418527,0.331088513,0.397449459,0.649713126,0.635048131,0.632645551,0.65725253,4.110319042,4.107060256,4.107082319,4.108189926,1.685094067,1.685188742,1.687197644,1.68207417,6.672401934,6.330892249,6.365457347,6.736417377,2.401628582,2.390093844,2.397204539,2.394940355,Non-Viable-Tumor
29,Case 3 A12-14795-35402,562,78647,255490,7.500362396,24.36542511,311,0.285321101,72.33440514,0.126185344,15,15,150,15,0.192844962,0.155954526,0.154244058,0.154917181,1.593664874,3.057620527,3.11715771,3.074355526,0.835291367,0.684106146,0.677954189,0.682308476,0.957128522,1.261254836,1.277916192,1.269126443,1.272860752,2.183473263,2.20605987,2.182740513,2.256235427,2.491093404,2.502929861,2.49742784,0.145268136,-0.402099424,-0.235374952,-0.226961416,-0.230948796,0.82388457,0.696819965,0.687929589,0.692193236,0.808162246,0.712841138,0.706500611,0.709265303,6.806343161,6.803551472,6.803532286,6.80210597,1.955252194,2.056754258,2.05890298,2.060229768,17.75765133,16.3005888,16.24095199,16.27964783,4.836332901,4.840477116,4.837459926,4.837940983,Non-Tumor
30,Case 3 A12-16067-9053,563,50596,127743,4.825210571,12.18252182,207,0.189908257,79.28019324,0.121682176,16,16,232,16,0.169307359,0.157286533,0.157035185,0.174090539,2.998061222,3.445771032,3.446120212,2.784392982,0.350233868,0.252423404,0.252349711,0.396011574,1.375319729,1.433056721,1.433179458,1.343549534,1.750699058,1.902045694,1.897222545,1.651369179,2.394642727,2.426460165,2.426368927,2.374823378,0.184945165,-0.062019505,-0.035056468,-0.035140978,-0.076755475,0.37696987,0.288012677,0.288332054,0.415561619,0.61600615,0.581845473,0.580960698,0.628408067,4.568899784,4.566210462,4.566229648,4.565698457,1.8476069,1.845950737,1.846396015,1.848658928,6.23006206,5.772735695,5.772414671,6.435626554,2.306345386,2.305511205,2.304155161,2.305207026,Non-Viable-Tumor
